StimA	StimB	dir	Val_A	Aro_A	Val_B	Aro_B
Demo_Sushi	Demo_girl	pairsTom/	0	0	0	0
Demo_Ramen_Soup	Demo_Sushi	pairsTom/	0	0	0	0
Demo_girl	Demo_Sushi	pairsTom/	0	0	0	0
1004_Sky_Divers_5621	3006_Shark_1932	pairsTom/	1	1	0	1
3008_Crime_6510	4006_Broken_Lightbulb_7013	pairsTom/	0	1	0	0
1006_Skier_8034	3007_Gun_6210	pairsTom/	1	1	0	1
1008_Rafting_8370	3002_Snake_1120	pairsTom/	1	1	0	1
2006_Kids_2387	4007_Garbage_7023	pairsTom/	1	0	0	0
3005_Shark_1930	4008_Cemetery_9000	pairsTom/	0	1	0	0
1003_Couple_4687	3004_Bear_1321	pairsTom/	1	1	0	1
3008_Crime_6510	4003_Sick_Man_2491	pairsTom/	0	1	0	0
2005_Mother_2170	4002_Elderly_Man_2490	pairsTom/	1	0	0	0
1003_Couple_4687	3002_Snake_1120	pairsTom/	1	1	0	1
3001_Snake_1114	4003_Sick_Man_2491	pairsTom/	0	1	0	0
1001_women_4220	2007_Kids_2388	pairsTom/	1	1	1	0
1004_Sky_Divers_5621	3007_Gun_6210	pairsTom/	1	1	0	1
2005_Mother_2170	4004_Elderly_Woman_2590	pairsTom/	1	0	0	0
1001_women_4220	2003_Bunnies_1750	pairsTom/	1	1	1	0
2006_Kids_2387	4002_Elderly_Man_2490	pairsTom/	1	0	0	0
3003_PitBull_1300	4003_Sick_Man_2491	pairsTom/	0	1	0	0
1005_Astronaut_5470	2007_Kids_2388	pairsTom/	1	1	1	0
1006_Skier_8034	3004_Bear_1321	pairsTom/	1	1	0	1
1008_Rafting_8370	3006_Shark_1932	pairsTom/	1	1	0	1
3005_Shark_1930	4005_Jail_2722	pairsTom/	0	1	0	0
2008_Mother_2540	4002_Elderly_Man_2490	pairsTom/	1	0	0	0
2001_Ferret_1410	4007_Garbage_7023	pairsTom/	1	0	0	0
1006_Skier_8034	3006_Shark_1932	pairsTom/	1	1	0	1
1007_Surfers_8206	2004_Kid_2035	pairsTom/	1	1	1	0
3005_Shark_1930	4003_Sick_Man_2491	pairsTom/	0	1	0	0
1002_Couple_4608	2007_Kids_2388	pairsTom/	1	1	1	0
3008_Crime_6510	4005_Jail_2722	pairsTom/	0	1	0	0
3003_PitBull_1300	4006_Broken_Lightbulb_7013	pairsTom/	0	1	0	0
1001_women_4220	2002_Dog_1500	pairsTom/	1	1	1	0
3001_Snake_1114	4006_Broken_Lightbulb_7013	pairsTom/	0	1	0	0
2001_Ferret_1410	4002_Elderly_Man_2490	pairsTom/	1	0	0	0
2006_Kids_2387	4004_Elderly_Woman_2590	pairsTom/	1	0	0	0
1008_Rafting_8370	3007_Gun_6210	pairsTom/	1	1	0	1
2005_Mother_2170	4007_Garbage_7023	pairsTom/	1	0	0	0
1005_Astronaut_5470	2003_Bunnies_1750	pairsTom/	1	1	1	0
2005_Mother_2170	4001_Sad_Family_2312	pairsTom/	1	0	0	0
3003_PitBull_1300	4008_Cemetery_9000	pairsTom/	0	1	0	0
2008_Mother_2540	4001_Sad_Family_2312	pairsTom/	1	0	0	0
3005_Shark_1930	4006_Broken_Lightbulb_7013	pairsTom/	0	1	0	0
3001_Snake_1114	4008_Cemetery_9000	pairsTom/	0	1	0	0
2001_Ferret_1410	4004_Elderly_Woman_2590	pairsTom/	1	0	0	0
1004_Sky_Divers_5621	3002_Snake_1120	pairsTom/	1	1	0	1
1007_Surfers_8206	2002_Dog_1500	pairsTom/	1	1	1	0
1002_Couple_4608	2002_Dog_1500	pairsTom/	1	1	1	0
1005_Astronaut_5470	2002_Dog_1500	pairsTom/	1	1	1	0
1006_Skier_8034	3002_Snake_1120	pairsTom/	1	1	0	1
1001_women_4220	2004_Kid_2035	pairsTom/	1	1	1	0
1003_Couple_4687	3007_Gun_6210	pairsTom/	1	1	0	1
1007_Surfers_8206	2007_Kids_2388	pairsTom/	1	1	1	0
1002_Couple_4608	2004_Kid_2035	pairsTom/	1	1	1	0
2008_Mother_2540	4004_Elderly_Woman_2590	pairsTom/	1	0	0	0
1007_Surfers_8206	2003_Bunnies_1750	pairsTom/	1	1	1	0
1004_Sky_Divers_5621	3004_Bear_1321	pairsTom/	1	1	0	1
1008_Rafting_8370	3004_Bear_1321	pairsTom/	1	1	0	1
3008_Crime_6510	4008_Cemetery_9000	pairsTom/	0	1	0	0
1002_Couple_4608	2003_Bunnies_1750	pairsTom/	1	1	1	0
2006_Kids_2387	4001_Sad_Family_2312	pairsTom/	1	0	0	0
2008_Mother_2540	4007_Garbage_7023	pairsTom/	1	0	0	0
3001_Snake_1114	4005_Jail_2722	pairsTom/	0	1	0	0
3003_PitBull_1300	4005_Jail_2722	pairsTom/	0	1	0	0
2001_Ferret_1410	4001_Sad_Family_2312	pairsTom/	1	0	0	0
1003_Couple_4687	3006_Shark_1932	pairsTom/	1	1	0	1
1005_Astronaut_5470	2004_Kid_2035	pairsTom/	1	1	1	0
